-68.96	91.44	140.99	-134.74		
-69.11	91.48	140.99	-134.74		
-69.18	91.48	141.06	-136.77		
-69.15	91.62	141.29	-136.93		
-69.17	91.7	141.59	-136.7		
-69.04	91.55	141.28	-136.7		
-68.90	91.49	140.98	-136.7		
-68.93	91.49	140.98	-136.7		
-68.99	91.49	140.01	-136.3		
-69.31	91.42	139.68	-136.12		
-69.30	91.42	139.45	-136.22		
-69.45	91.5	139.45	-136.22		
-69.19	91.5	139.57	-136.37		
-68.73	91.2	139.59	-136.32		
-68.60	91.2	139.77	-136.32		
-68.61	90.89	139.92	-136.27		
-68.67	90.43	140.23	-136.27		
-68.72	90.08	140.23	-136.24		
-68.85	90.0	140.3	-136.18		
-68.93	89.86	140.43	-136.07		
-69.03	89.74	140.49	-135.91		
-68.95	89.42	140.39	-135.84		
-68.73	89.1	139.86	-135.69		
-68.65	89.1	139.86	-135.69		
-68.90	89.1	139.55	-136.92		
-68.63	88.51	139.32	-137.19		
-68.37	88.51	139.32	-137.19		
-68.41	88.51	139.29	-137.63		
-68.63	87.96	139.42	-138.6		
-68.85	87.7	139.35	-138.71		
-69.11	87.62	139.28	-138.45		
-69.22	87.62	139.18	-138.04		
-69.39	87.35	139.11	-137.78		
-69.50	87.35	139.11	-137.78		
-69.41	87.35	139.21	-136.78		
-69.38	87.19	139.21	-136.78		
-68.86	87.19	139.5	-135.86		
-68.72	87.11	139.62	-135.42		
-68.72	87.11	139.62	-135.42		
-68.84	87.11	139.55	-135.84		
-68.80	87.16	139.64	-135.99		
-68.81	87.39	140.21	-136.17		
-68.76	87.38	140.21	-136.17		
-68.64	87.38	140.64	-136.17		
-68.47	87.6	140.5	-135.95		
-68.20	87.64	140.5	-135.95		
-68.14	87.64	140.12	-135.25		
-68.08	87.86	140.12	-135.25		
-68.00	87.86	139.72	-135.3		
-68.16	88.42	139.72	-135.3		
-68.38	88.42	139.42	-135.45		
-68.66	88.65	139.39	-135.67		
-68.91	89.02	139.67	-135.69		
-68.81	89.01	139.83	-135.56		
-68.40	89.07	139.83	-135.56		
-68.28	89.07	140.33	-135.48		
-67.58	89.07	140.15	-135.41		
-67.26	89.09	140.15	-135.33		
-67.24	89.12	140.06	-135.48		
-67.43	88.77	140.03	-135.65		
-67.60	88.58	140.01	-135.8		
-67.89	88.26	140.01	-135.93		
-67.93	87.96	140.18	-136.06		
-67.77	87.96	140.15	-136.06		
-67.86	87.96	140.15	-136.05		
-67.80	87.62	140.2	-136.04		
-67.75	87.86	140.12	-136.08		
-67.83	88.0	140.12	-136.66		
-67.82	88.35	140.12	-136.9		
-67.90	88.7	140.14	-137.2		
-67.98	89.01	140.21	-137.58		
-68.24	89.01	140.3	-137.9		
-68.27	89.12	140.38	-138.55		
-68.06	89.39	140.11	-138.86		
-67.92	89.76	140.11	-138.86		
-67.94	89.76	139.32	-137.11		
-67.81	89.99	139.32	-137.11		
-67.89	89.99	139.14	-136.26		
-67.84	90.13	139.14	-136.26		
-68.05	90.13	139.19	-135.74		
-68.56	90.13	139.64	-135.41		
-69.05	90.1	139.64	-135.41		
-69.24	90.1	139.85	-135.77		
-69.30	90.1	139.85	-135.89		
-69.52	89.88	140.13	-136.47		
-70.02	89.88	140.13	-136.47		
-70.59	89.88	140.35	-137.19		
-70.57	89.77	140.35	-137.19		
-70.35	89.77	140.39	-137.79		
-70.72	89.93	140.64	-137.42		
-71.31	89.97	140.93	-136.99		
-71.09	89.99	140.93	-136.99		
-70.67	89.99	141.37	-136.72		
-69.79	89.91	141.62	-136.33		
-69.14	89.89	141.62	-136.33		
-68.95	89.89	141.58	-136.05		
-68.92	89.62	141.76	-136.26		
-68.90	89.22	141.76	-136.26		
-68.75	89.22	141.56	-136.31		
-68.90	89.2	141.29	-136.29		
-68.93	89.19	141.33	-135.91		
-69.14	89.07	141.33	-135.91		
-69.16	89.07	141.33	-135.23		
-69.04	89.27	141.33	-135.23		
-69.04	89.27	141.57	-134.88		
-69.19	89.27	141.51	-134.26		
-69.34	89.5	141.41	-134.52		
-69.62	89.61	141.41	-134.52		
-69.58	89.61	141.06	-134.52		
-69.49	89.61	140.84	-135.66		
-69.51	90.05	140.84	-135.66		
-69.16	90.05	140.75	-137.32		
-69.11	89.89	140.71	-137.67		
-69.19	89.73	140.71	-137.67		
-69.50	89.73	140.6	-138.31		
-69.78	89.7	140.68	-138.34		
-69.88	89.79	140.68	-138.34		
-69.72	89.79	140.74	-138.59		
-69.57	89.8	140.5	-139.25		
-69.59	89.71	140.35	-139.37		
-69.59	89.69	140.24	-138.91		
-69.62	89.68	140.23	-138.33		
-69.65	89.81	140.49	-137.77		
-69.69	89.81	140.49	-137.32		
-69.69	89.91	140.49	-137.18		
-70.00	90.24	140.55	-137.44		
-70.14	90.24	140.74	-137.67		
-70.07	90.16	140.86	-138.02		
-69.85	90.16	140.86	-137.9		
-69.63	90.11	140.86	-137.9		
-69.34	90.11	141.11	-137.92		
-69.29	90.11	141.38	-137.9		
-69.82	90.26	141.38	-137.9		
-69.85	90.26	141.48	-137.36		
-69.76	90.18	141.63	-136.54		
-69.62	90.4	141.72	-136.08		
-69.47	90.45	141.77	-135.69		
-69.45	90.54	141.87	-135.45		
