-160.43	-21.34	48.37	151.21
-160.66	-21.26	48.56	151.35
-160.89	-21.15	48.67	151.35
-160.89	-21.62	48.67	151.35
-160.57	-21.62	49.67	151.42
-159.49	-22.04	49.91	150.37
-159.06	-22.32	48.97	149.87
-159.06	-22.4	48.97	149.87
-159.11	-22.4	47.57	148.72
-159.11	-22.65	47.57	148.72
-159.38	-22.65	47.24	149.03
-159.34	-22.62	47.54	149.12
-159.29	-22.79	47.81	149.31
-159.51	-22.79	48.1	149.31
-160.1	-23.02	48.55	148.99
-160.1	-23.02	48.55	148.99
-160.08	-23.02	48.94	148.67
-160.02	-23.09	49.71	148.67
-160.06	-23.85	49.95	148.06
-159.96	-23.85	49.93	147.84
-159.96	-23.85	49.28	148.5
-159.81	-24.19	48.72	148.5
-159.67	-24.38	48.72	150.11
-159.63	-24.27	49.38	150.11
-159.63	-24.03	50.26	150.47
-159.64	-23.96	50.26	150.47
-159.72	-23.81	49.74	150.66
-159.86	-23.76	49.35	150.89
-160.52	-23.39	49.02	151.1
-161.01	-23.25	48.49	151.3
-161.01	-23.25	48.29	151.5
-161.01	-23.19	48.29	151.5
-162.33	-23.19	48.03	151.67
-162.26	-22.57	48.15	151.67
-162.28	-22.57	48.42	151.81
-162.28	-22.13	48.42	152.09
-162.28	-21.79	48.42	152.09
-162.33	-21.79	48.93	151.2
-162.33	-21.79	48.93	150.22
-162.42	-21.28	48.94	149.7
-162.47	-21.28	48.96	149.82
-162.47	-20.77	48.94	149.87
-162.47	-20.99	48.94	149.87
-162.94	-20.99	48.01	149.95
-162.94	-20.99	47.05	150.12
-163.11	-21.26	47.05	150.43
-163.18	-21.87	46.63	150.72
-163.18	-21.81	46.63	150.72
-163.37	-21.81	46.99	150.79
-163.42	-21.79	45.82	150.79
-163.51	-21.73	45.72	150.74
-163.55	-22.11	40.18	150.61
-163.55	-22.49	40.18	150.61
-163.6	-22.49	33.47	150.62
-163.6	-23.28	33.47	150.62
-162.86	-23.28	34.15	150.62
-162.69	-24.0	34.28	150.65
-162.69	-24.41	34.88	151.01
-162.34	-24.12	35.63	151.01
-162.34	-23.63	35.63	151.01
-162.42	-23.63	36.6	151.11
-162.43	-22.59	36.6	150.83
-162.51	-22.05	36.79	150.83
-162.51	-22.05	36.79	150.83
-162.51	-22.05	37.34	150.83
-162.48	-21.28	38.17	150.56
-162.49	-20.83	38.62	150.45
-162.57	-21.14	38.92	150.39
-162.57	-21.63	38.92	150.39
-162.4	-21.63	39.43	150.52
-162.4	-22.88	39.43	150.52
-162.35	-22.88	40.24	150.93
-162.08	-23.76	40.24	150.9
-161.38	-23.94	40.24	150.8
-160.97	-24.3	40.57	150.82
-160.53	-24.88	41.28	150.99
-160.53	-24.88	42.6	151.06
-160.11	-24.65	43.09	151.09
-160.11	-24.43	43.62	151.21
-159.72	-24.43	43.76	151.21
-159.48	-24.24	43.91	151.86
-159.35	-24.24	44.11	151.86
-159.38	-23.97	44.33	152.25
-159.2	-23.97	44.75	152.34
-159.2	-23.97	44.75	152.34
-159.64	-23.97	44.92	152.28
-159.78	-24.19	44.94	151.42
-160.02	-24.3	44.99	151.42
-160.2	-24.17	45.27	149.79
-160.27	-24.06	45.77	149.17
-160.27	-23.93	46.18	148.59
-160.41	-23.46	46.26	148.95
-160.6	-22.71	46.26	149.42
-160.6	-22.14	46.26	149.42
-160.65	-22.14	46.33	149.95
-160.75	-21.89	46.57	150.34
-160.8	-21.89	47.31	149.82
-160.85	-22.45	47.61	148.96
-160.79	-22.95	48.06	148.96
-160.67	-22.84	48.12	147.17
-160.67	-22.64	48.38	146.46
-160.67	-22.08	47.65	146.81
-160.37	-22.3	47.32	146.81
-160.23	-23.14	46.93	147.24
-160.1	-23.52	47.92	147.76
-159.09	-23.64	48.81	148.25
-158.16	-23.68	48.81	148.56
-158.05	-23.75	49.44	148.56
-158.05	-23.71	49.44	148.56
-159.04	-23.71	49.4	148.32
-159.46	-24.25	47.55	148.0
-159.76	-24.43	46.22	148.03
-159.93	-24.63	46.45	147.86
-160.08	-25.04	46.76	147.42
-159.55	-25.27	46.97	147.06
-159.55	-25.3	46.97	147.06
-157.87	-25.3	47.17	147.91
-157.52	-25.54	48.27	148.14
-158.06	-25.8	49.22	148.4
-158.25	-25.8	49.61	148.79
-158.46	-26.04	50.25	149.36
-158.46	-26.14	50.17	149.63
-158.63	-26.7	51.91	149.9
-158.61	-26.7	51.78	149.88
-158.49	-26.62	52.0	149.89
-158.49	-26.27	52.0	149.89
-158.32	-26.27	52.02	150.08
-157.65	-26.3	52.69	150.34
-157.42	-23.24	53.14	150.45
-156.84	-22.32	53.38	150.63
-156.84	-21.47	53.38	150.63
-157.54	-21.47	53.44	148.53
-158.1	-20.45	53.69	148.53
-158.79	-19.6	53.46	146.93
-158.79	-18.23	53.21	148.48
-159.15	-17.76	52.41	148.48
-159.06	-17.76	51.91	156.4
-159.04	-17.77	51.78	156.72
-158.91	-18.73	51.48	157.07
-158.91	-19.61	51.48	157.07
-158.78	-19.61	51.0	156.09
-158.92	-21.54	50.84	155.53
-159.01	-21.08	50.69	154.31
-159.15	-20.59	50.5	154.31
-159.2	-20.59	50.47	154.36
-159.1	-19.88	49.05	154.4
-159.07	-19.88	48.65	154.4
-159.07	-19.73	48.87	154.21
-159.17	-20.02	50.2	153.9
-159.31	-20.23	50.71	153.9
-159.42	-20.58	51.13	153.76
